STS,DEST,Month,Flight No,Phân thị,Sector,A/C,Dow,Vị trí phân bổ,AC type,CW/ vị trí,Total CW,Net Rate ($),All in,Revenue,,,,,,,,,,,,,
CAN,CDG,JUL,VN019,Châu Âu,HANCDG,350,D6,2,1,500.00,"4,000.00",2.6,2.6,"10,400.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN011,Châu Âu,SGNCDG,350,D6,6,1,500.00,"12,000.00",2.6,2.6,"31,200.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN019,Châu Âu,HANCDG,350,D7,1,1,500.00,"2,000.00",2.6,2.6,"5,200.00",,,,,,,,,,,,,
CAN,CDG,AUG,VN011,Châu Âu,SGNCDG,350,D1,5,1,500.00,"10,000.00",2.6,2.6,"26,000.00",,,,,,,,,,,,,
CAN,CDG,AUG,VN011,Châu Âu,SGNCDG,350,D2,3,1,500.00,"6,000.00",2.6,2.6,"15,600.00",,,,,,,,,,,,,
CAN,CDG,AUG,VN019,Châu Âu,HANCDG,350,D2,1,1,500.00,"2,000.00",2.6,2.6,"5,200.00",,,,,,,,,,,,,
CAN,CDG,AUG,VN011,Châu Âu,SGNCDG,350,D4,5,1,500.00,"10,000.00",2.6,2.6,"26,000.00",,,,,,,,,,,,,
CAN,CDG,AUG,VN019,Châu Âu,HANCDG,350,D5,1,1,500.00,"2,500.00",2.6,2.6,"6,500.00",,,,,,,,,,,,,
CAN,CDG,AUG,VN011,Châu Âu,SGNCDG,350,D6,3,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN011,Châu Âu,SGNCDG,350,D1,3,1,500.00,"7,500.00",2.7,2.7,"20,250.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN019,Châu Âu,HANCDG,350,D2,3,1,500.00,"7,500.00",2.7,2.7,"20,250.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN011,Châu Âu,SGNCDG,350,D2,3,1,500.00,"7,500.00",2.7,2.7,"20,250.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN019,Châu Âu,HANCDG,350,D3,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN019,Châu Âu,HANCDG,350,D4,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN011,Châu Âu,SGNCDG,350,D4,5,1,500.00,"10,000.00",2.7,2.7,"27,000.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN019,Châu Âu,HANCDG,350,D5,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN011,Châu Âu,SGNCDG,350,D6,4,1,500.00,"8,000.00",2.7,2.7,"21,600.00",,,,,,,,,,,,,
CAN,CDG,SEP,VN019,Châu Âu,HANCDG,350,D7,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN019,Châu Âu,HANCDG,350,D1,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN011,Châu Âu,SGNCDG,350,D1,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN019,Châu Âu,HANCDG,350,D2,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN019,Châu Âu,HANCDG,350,D3,1,1,500.00,"2,500.00",2.7,2.7,"6,750.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN011,Châu Âu,SGNCDG,350,D4,2,1,500.00,"5,000.00",2.7,2.7,"13,500.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN019,Châu Âu,HANCDG,350,D5,2,1,500.00,"5,000.00",2.7,2.7,"13,500.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN019,Châu Âu,HANCDG,350,D6,1,1,500.00,"2,000.00",2.7,2.7,"5,400.00",,,,,,,,,,,,,
CAN,CDG,OCT,VN011,Châu Âu,SGNCDG,350,D6,1,1,500.00,"2,000.00",2.7,2.7,"5,400.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN011,Châu Âu,SGNCDG,350,D1,3,1,500.00,"6,000.00",2.8,2.8,"16,800.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN019,Châu Âu,HANCDG,350,D1,1,1,500.00,"2,000.00",2.8,2.8,"5,600.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN019,Châu Âu,HANCDG,350,D2,1,1,500.00,"2,000.00",2.8,2.8,"5,600.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN011,Châu Âu,SGNCDG,350,D2,2,1,500.00,"4,000.00",2.8,2.8,"11,200.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN019,Châu Âu,HANCDG,350,D3,1,1,500.00,"2,000.00",2.8,2.8,"5,600.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN019,Châu Âu,HANCDG,350,D4,1,1,500.00,"2,000.00",2.8,2.8,"5,600.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN011,Châu Âu,SGNCDG,350,D4,3,1,500.00,"6,000.00",2.8,2.8,"16,800.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN019,Châu Âu,HANCDG,350,D5,1,1,500.00,"2,000.00",2.8,2.8,"5,600.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN019,Châu Âu,HANCDG,350,D6,1,1,500.00,"2,500.00",2.8,2.8,"7,000.00",,,,,,,,,,,,,
CAN,CDG,NOV,VN011,Châu Âu,SGNCDG,350,D6,6,1,500.00,"15,000.00",2.8,2.8,"42,000.00",,,,,,,,,,,,,
